Banswara,125,Rajasthan,Wagdi,1576846,Bagri,44023.0,Hindi,51934.0
Chittaurgarh,126,Rajasthan,Mewari,1027866,Hindi,179751.0,Rajasthani,194659.0
Kota,127,Rajasthan,Hindi,769122,Hara/Harauti,911346.0,Malvi,40380.0
Baran,128,Rajasthan,Hara/Harauti,862271,Hindi,305616.0,Urdu,5387.0
Jhalawar,129,Rajasthan,Hindi,584529,Malvi,234548.0,Hara/Harauti,233358.0
Udaipur,130,Rajasthan,Mewari,1352039,Wagdi,532782.0,Rajasthani,184922.0
Pratapgarh,131,Rajasthan,Wagdi,167271,Mewari,224786.0,Rajasthani,184003.0
Saharanpur,132,Uttar Pradesh,Hindi,2795740,Urdu,643788.0,,
Muzaffarnagar,133,Uttar Pradesh,Hindi,3602700,Urdu,521164.0,,
Bijnor,134,Uttar Pradesh,Hindi,2804764,Urdu,829364.0,,
Moradabad,135,Uttar Pradesh,Hindi,3934937,Urdu,826152.0,,
Rampur,136,Uttar Pradesh,Hindi,1725076,Urdu,523079.0,Punjabi,34474.0
Jyotiba Phule Nagar,137,Uttar Pradesh,Hindi,1473291,Urdu,362532.0,,
Meerut,138,Uttar Pradesh,Hindi,2977991,Urdu,428032.0,,
Baghpat,139,Uttar Pradesh,Hindi,1260602,Urdu,33153.0,,
Ghaziabad,140,Uttar Pradesh,Hindi,4225320,Urdu,353972.0,,
Gautam Buddha Nagar,141,Uttar Pradesh,Hindi,1532098,Urdu,2461.0,Bengali,19701.0
Bulandshahr,142,Uttar Pradesh,Hindi,3262333,Urdu,230369.0,,
Aligarh,143,Uttar Pradesh,Hindi,3399752,Brajbhasha,24088.0,Urdu,189641.0
Mahamaya Nagar,144,Uttar Pradesh,Hindi,1535921,Urdu,18073.0,Brajbhasha,5570.0
Mathura,145,Uttar Pradesh,Hindi,1915564,Brajbhasha,566855.0,,
Agra,146,Uttar Pradesh,Hindi,4303233,Brajbhasha,56212.0,,
Firozabad,147,Uttar Pradesh,Hindi,2423973,Urdu,63961.0,Brajbhasha,1090.0
Mainpuri,148,Uttar Pradesh,Hindi,1860610,Urdu,5815.0,,
Budaun,149,Uttar Pradesh,Hindi,3359520,Urdu,318143.0,,
Bareilly,150,Uttar Pradesh,Hindi,4033435,Urdu,377202.0,,
Pilibhit,151,Uttar Pradesh,Hindi,1686357,Urdu,182630.0,,
Shahjahanpur,152,Uttar Pradesh,Hindi,2741529,Urdu,196712.0,Punjabi,32327.0
Kheri,153,Uttar Pradesh,Hindi,3749802,Urdu,118735.0,Bhojpuri,24328.0
Sitapur,154,Uttar Pradesh,Hindi,4175470,Urdu,252025.0,,
Hardoi,155,Uttar Pradesh,Hindi,3987645,Urdu,100136.0,,
Unnao,156,Uttar Pradesh,Hindi,3033529,Urdu,69756.0,Chhattisgarhi,58.0
Lucknow,157,Uttar Pradesh,Hindi,4163409,Urdu,346474.0,,
Rae Bareli,158,Uttar Pradesh,Hindi,3209172,Awadhi,115254.0,Urdu,23064.0
Farrukhabad,159,Uttar Pradesh,Hindi,1790275,Urdu,88252.0,,
Kannauj,160,Uttar Pradesh,Hindi,1600677,Urdu,47643.0,Others,5320.0
Etawah,161,Uttar Pradesh,Hindi,1553087,Urdu,27532.0,,
Auraiya,162,Uttar Pradesh,Hindi,1359181,Urdu,18863.0,,
Kanpur Dehat,163,Uttar Pradesh,Hindi,1777683,Urdu,16459.0,Bengali,899.0
Kanpur Nagar,164,Uttar Pradesh,Hindi,4234664,Urdu,263375.0,,
Jalaun,165,Uttar Pradesh,Hindi,1633170,Bundeli/Bundel_Khandi,26231.0,Urdu,14397.0
Jhansi,166,Uttar Pradesh,Hindi,1905568,Bundeli/Bundel_Khandi,67146.0,,
Lalitpur,167,Uttar Pradesh,Hindi,996864,Bundeli/Bundel_Khandi,213925.0,,
Hamirpur,168,Uttar Pradesh,Hindi,733612,Bundeli/Bundel_Khandi,353494.0,,
Mahoba,169,Uttar Pradesh,Hindi,573734,Bundeli/Bundel_Khandi,294619.0,,
Banda,170,Uttar Pradesh,Hindi,1724093,Bundeli/Bundel_Khandi,24794.0,Urdu,23152.0
Chitrakoot,171,Uttar Pradesh,Hindi,680442,Bundeli/Bundel_Khandi,302714.0,,
Fatehpur,172,Uttar Pradesh,Hindi,2566474,Urdu,65600.0,,
Pratapgarh,173,Uttar Pradesh,Hindi,2911957,Awadhi,158370.0,Urdu,49313.0
Kaushambi,174,Uttar Pradesh,Hindi,1576776,Urdu,17670.0,,
Allahabad,175,Uttar Pradesh,Hindi,5651508,Urdu,114448.0,Awadhi,97965.0
Bara Banki,176,Uttar Pradesh,Hindi,2984773,Urdu,193329.0,Awadhi,39028.0
Faizabad,177,Uttar Pradesh,Hindi,2050978,Awadhi,329557.0,Urdu,31515.0
